Car_name,Battery,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
Hyundai Kona Electric 39 kWh,39.2,160,210,36400,245,155,9.9
Fisker Ocean Ultra,106.5,199,640,57000,535,200,4.2
Renault Zoe ZE50 R135,52,168,230,37840,310,140,9.5
Kia EV9 99.8 kWh RWD,96,213,780,72490,450,185,9.4
Lexus RZ 450e,64,200,480,68000,320,160,5.6
Tesla Model X Dual Motor,95,200,660,100970,475,250,3.9
Mercedes EQB 250+,70.5,170,560,53514,415,160,8.9
Hyundai IONIQ 5 Long Range AWD,74,192,1010,59200,385,185,5.1
Peugeot e-308,50.8,169,450,44765,300,170,9.8
Tesla Model X Plaid,95,209,630,115970,455,262,2.6
Volvo XC40 Recharge Twin Motor,79,203,580,59950,390,180,4.8
Hyundai IONIQ 5 Standard Range 2WD,54,183,720,43900,295,185,8.5
Volkswagen ID.5 Pro,77,169,680,48970,455,180,6.7
Mercedes EQB 300 4MATIC,66.5,196,490,NA,340,160,8
Audi Q8 e-tron Sportback 55 quattro,106,202,660,87550,525,200,5.6
BMW iX2 xDrive30,64.7,170,550,56500,380,180,5.6
Audi Q4 e-tron 45,77,183,630,52950,420,180,6.7
Zeekr X Privilege AWD,64,183,520,50470,350,180,3.8
BMW iX M60,105.2,217,650,136100,485,250,3.8
Fiat 600e,50.8,167,490,36490,305,150,9
Smart #3,62,175,550,43490,355,180,6.7
MG Marvel R,70,192,400,46990,365,200,7.9
Nissan Leaf e+,59,174,240,41100,340,157,6.9
Polestar 2 Long Range Dual Motor,79,176,670,58775,450,205,4.5
Dacia Spring Electric 65 Extreme,25,156,170,24550,160,125,13.7
Mercedes EQE 350+,90.6,171,790,NA,530,210,6.4
Volkswagen ID.3 Pro S - 4 Seats,77,169,680,47595,455,160,7.9
Mercedes EQS SUV 580 4MATIC,108.4,224,720,135434,485,210,4.6
Kia EV9 99.8 kWh AWD GT-Line,96,231,720,82380,415,200,5.3
Renault Megane E-Tech EV60 130hp,60,158,530,47000,380,150,10.5
Skoda Enyaq 60,58,171,460,44200,340,160,8.7
Citroen e-C4 X,46.3,162,460,37540,285,150,9.7
Ford Mustang Mach-E ER RWD,91,190,420,58500,480,180,7
Lucid Air Grand Touring,112,168,840,159000,665,270,3
Volvo XC40 Recharge Single Motor,66,191,420,47500,345,180,7.3
Polestar 2 Standard Range Single Motor,67,165,480,50775,405,205,6.4
Peugeot e-2008 54 kWh,50.8,169,480,40050,300,150,9.1
XPENG G9 RWD Standard Range,75.8,190,840,NA,400,200,6.4
ORA Funky Cat 48 kWh,45.4,175,240,38990,260,160,8.3
Audi Q4 e-tron 50 quattro,76.6,199,550,NA,385,180,6.2
Hongqi E-HS9 84 kWh,76.5,239,440,NA,320,200,6.5
Polestar 3 Long Range Dual motor,107,218,640,88600,490,210,5
MG Marvel R Performance,70,200,380,50990,350,200,4.9
MG ZS EV Standard Range,49,185,250,33990,265,175,8.6
CUPRA Tavascan VZ,77,179,640,NA,430,180,5.6
Toyota bZ4X AWD,64,203,470,57390,315,160,6.9
Audi Q8 e-tron 50 quattro,89,209,660,74400,425,200,6
Nissan Ariya 63kWh,63,188,450,47490,335,160,7.5
Kia EV6 Standard Range 2WD,54,177,750,46990,305,185,8.5
Lucid Air Dream Edition P,118,177,840,218000,665,270,2.7
Volvo EX90 Twin Motor,107,230,610,105550,465,180,5.9
Mercedes EQA 250,66.5,164,580,50777,405,160,8.6
Mercedes EQV 300 Long,90,290,310,71626,310,160,12.1
NIO ET7 75 kWh,70.5,176,540,81900,400,200,3.8
Ford Mustang Mach-E ER AWD,91,204,390,65900,445,180,5.8
Volkswagen ID.4 Pure,52,182,360,40335,285,160,9
VinFast VF 9 Extended Range,123,237,520,89790,520,200,6.5
NIO ET5 100 kWh,90,180,520,68500,500,200,4
Skoda Enyaq 85x,77,175,660,51150,440,180,6.6
XPENG G9 RWD Long Range,93.1,190,1020,NA,490,200,6.4
Volvo C40 Recharge Twin Motor,79,198,600,61400,400,180,4.7
Fisker Ocean Sport,75,197,480,41560,380,160,7.4
Mercedes EQE SUV 500 4MATIC,96,211,630,99841,455,210,4.9
Mini Cooper SE,49,158,440,36900,310,170,6.7
Ford Mustang Mach-E SR RWD,72.6,191,460,55800,380,180,7.3
Volvo C40 Recharge Single Motor ER,79,188,630,54450,420,180,7.3
Jaguar I-Pace EV400,84.7,223,360,92400,380,200,4.8
Skoda Enyaq Coupe RS,77,169,680,63300,455,180,5.5
XPENG P7 Wing Edition,82.7,178,650,NA,465,200,4.1
Fisker Ocean Extreme,106.5,201,630,69950,530,205,3.9
Mercedes EQE 300,89,170,660,67187,525,210,7.3
Honda e Advance,28.5,168,180,39900,170,145,8.3
Lotus Eletre R,109,240,950,150990,455,260,2.9
Smart #3 Brabus,62,188,510,50990,330,180,3.7
Peugeot e-308 SW,50.8,169,450,45765,300,150,9
Mercedes EQE SUV 350 4MATIC,89,209,540,NA,425,210,6.6
Mercedes EQS SUV 450+,108.4,217,750,110801,500,210,6.7
BYD DOLPHIN 44.9 kWh Boost,44.9,176,260,32740,255,160,8
Opel Corsa Electric 51 kWh,48.1,153,490,38045,315,150,8.1
SsangYong Korando e-Motion,56,193,330,40490,290,156,8.5
Volkswagen ID.4 Pro 4MOTION,77,181,630,49020,425,180,6.6
Mercedes EQA 350 4MATIC,66.5,190,500,NA,350,160,6
Renault Megane E-Tech EV40 130hp,40,154,370,42000,260,150,10
Smart #1 Pro,47,184,330,37490,255,180,6.7
Citroen e-C4 54 kWh,50.8,154,470,41540,330,150,10
Lucid Air Touring,92,159,970,129000,580,250,3.2
CUPRA Tavascan Endurance,77,171,670,NA,450,180,6.8
Volvo EX90 Twin Motor Performance,107,238,590,110650,450,180,4.9
Peugeot e-2008 50 kWh,46.3,171,430,NA,270,150,9.9
Volkswagen ID.4 GTX,77,183,630,53255,420,180,5.4
Mercedes EQA 350 4MATIC,66.5,187,510,56424,355,160,6
Skoda Enyaq Coupe 85x,77,164,700,53400,470,180,6.6
Mercedes EQA 250+,70.5,164,600,52205,430,160,8.6
Genesis GV60 Premium,74,190,1020,NA,390,185,7.8
Mercedes EQS 580 4MATIC,108.4,184,880,141705,590,210,4.3
Renault Kangoo E-Tech Electric,45,205,230,39300,220,132,12.6
Peugeot e-208 51 kWh,48.1,155,480,36775,310,150,8.2
Aiways U5,60,190,380,39563,315,150,7.5
Hyundai Kona Electric 48 kWh,48.4,167,280,41990,290,160,7.8
Audi Q4 e-tron 55 quattro,77,195,590,59000,395,180,5.4
XPENG G9 AWD Performance,93.1,196,990,NA,475,200,3.9
Audi Q4 Sportback e-tron 40,76.6,180,660,NA,425,160,8.5
NIO ET7 100 kWh,90,178,530,90900,505,200,3.8
Mercedes EQA 300 4MATIC,66.5,190,500,NA,350,160,7.7
Audi Q4 Sportback e-tron 45,77,177,650,54950,435,180,6.7
Mercedes EQE SUV 500 4MATIC,90.6,208,650,NA,435,210,4.9
Kia e-Soul 64 kWh,64,173,350,46950,370,167,7.9
BMW i7 eDrive50,101.7,196,780,115700,520,205,5.5
Audi SQ8 e-tron,106,233,570,95800,455,210,4.5
Porsche Taycan GTS,83.7,186,1110,139906,450,250,3.7
XPENG P7 RWD Long Range,82.7,167,690,NA,495,200,6.7
Porsche Taycan Plus,83.7,173,1190,98863,485,230,5.4
BMW i7 M70 xDrive,101.7,208,730,181800,490,250,3.7
Opel Astra Sports Tourer Electric,50.8,169,480,43490,300,170,9.3
Volvo C40 Recharge Single Motor,66,186,430,47500,355,180,7.3
Lucid Air Pure AWD,92,156,990,109000,590,200,4.2
Volkswagen ID.5 GTX,77,179,640,56455,430,180,5.5
Maserati GranTurismo Folgore,83,195,990,NA,425,320,2.7
Mini Countryman E,64.7,170,550,NA,380,170,8.6
Fiat 500e Hatchback 24 kWh,21.3,158,230,30990,135,135,9
Opel Corsa Electric 50 kWh,46.3,157,470,34650,295,150,8.7
Polestar 3 Long Range Performance,107,228,610,95200,470,210,4.7
Citroen e-Berlingo M 50 kWh,46.3,226,330,37790,205,135,11.7
Mercedes eVito Tourer Long 90 kWh,90,290,310,64248,310,160,12
Nissan Ariya e-4ORCE 87kWh - 225 kW,87,215,480,61990,405,200,5.7
NIO EL6 100 kWh,90,205,460,74500,440,200,4.5
Citroen e-C4 X 54 kWh,50.8,154,470,41540,330,150,10
DS 3 E-Tense,50.8,169,480,40540,300,150,9
Mercedes EQS 450 4MATIC,108.4,178,910,113359,610,210,5.6
Seres 3,51,196,240,NA,260,155,8.9
MG MG5 Electric Standard Range,46,174,320,35490,265,185,7.7
Mercedes EQE SUV 350+,96,202,660,86811,475,210,6.9
Mercedes EQE 350 4MATIC,89,176,640,74149,505,210,6.3
Porsche Taycan Turbo S,83.7,195,1060,197740,430,260,2.8
Peugeot e-Rifter Long 50 kWh,46.3,232,320,42440,200,135,11.7
NIO EL7 100 kWh,90,209,450,94900,430,200,3.9
Ford Mustang Mach-E GT,91,214,380,77300,425,200,3.7
Mini Countryman SE ALL4,64.7,175,530,NA,370,180,5.6
Zeekr X Long Range RWD,64,178,540,45970,360,180,5.6
Maserati Grecale Folgore,95,235,440,NA,405,220,4.1
Zeekr 001 Privilege AWD,94,188,700,68970,500,200,3.8
NIO ET5 Touring 100 kWh,90,186,500,68500,485,200,4
Polestar 2 Long Range Performance,79,176,670,65275,450,205,4.2
Mercedes EQB 300 4MATIC,66.5,193,500,55519,345,160,8
Volvo EX90 Single Motor,101,220,600,NA,460,180,8.4
Nissan Townstar EV Passenger,45,200,230,39990,225,132,12.6
ORA Funky Cat 63 kWh,59.3,174,240,44490,340,160,8.2
Mercedes EQE 350,89,173,650,70995,515,210,6.4
Audi Q8 e-tron Sportback 50 quattro,89,200,690,76650,445,200,6
Fiat 500e 3+1 42 kWh,37.3,159,390,36990,235,150,9
Audi Q4 e-tron 45 quattro,77,195,590,54950,395,180,6.6
